year,team,squad_value_eur_m
2022,England,1500
2022,Brazil,1450
2022,France,1340
2022,Spain,1200
2022,Portugal,1150
2022,Germany,1020
2022,Argentina,739
2026,France,1519
2026,England,1301
2026,Spain,1249
2026,Portugal,1010
2026,Germany,992
2026,Brazil,906
2026,Netherlands,832
2026,Argentina,817
2026,Norway,597
2026,Belgium,538
2026,Mexico,191.8
2026,South Africa,49.2
2026,Czech Republic,188.2
2026,Canada,198.7
2026,Switzerland,332.5
2026,Qatar,19.9
2026,Bosnia and Herzegovina,151.6
2026,Morocco,447.7
2026,Haiti,55.9
2026,Scotland,170.2
2026,United States,385.6
2026,Paraguay,153.7
2026,Australia,77.5
2026,Turkey,473.7
2026,Curaçao,25.8
2026,Ivory Coast,522.1
2026,Ecuador,368.7
2026,Japan,270.9
2026,Tunisia,70.0
2026,Sweden,406.1
2026,Egypt,116.5
2026,Iran,32.0
2026,New Zealand,34.4
2026,Cape Verde,54.5
2026,Saudi Arabia,40.7
2026,Uruguay,359.3
2026,Senegal,478.1
2026,Iraq,21.2
2026,Algeria,256.9
2026,Austria,245.2
2026,Jordan,20.3
2026,Uzbekistan,85.3
2026,Colombia,302.4
2026,DR Congo,143.9
2026,Croatia,387.3
2026,Ghana,234.6
2026,Panama,34.5
